"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-01","33","40","26"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-02","18","27","10"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-03","12","20","5"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-04","27","36","18"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-05","30","39","22"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-06",,,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-07",,,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-08","19","33","5"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-09","28","38","18"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-10","9","19","-1"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-11","9","25","-6"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-12","30","35","25"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-13","29","34","26"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-14","13","29","-2"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-15","1","8","-6"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-16","17","29","4"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-17","24","27","21"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-18","21","30","11"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-19","27","39","16"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-20","7","16","-2"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-21","5","14","-4"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-22","11","24","-2"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-23","11","23","0"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-24","11","22","0"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-25","11","19","4"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-26",,,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-27","16","25","7"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-28","12","24","0"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-29","2","11","-6"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-30","14","23","5"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-01-31","25","30","19"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-01","28","40","16"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-02","33","40","27"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-03","20","27","13"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-04","10","13","7"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-05","12","19","4"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-06","25","32","19"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-07",,,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-08","27","31","22"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-09","33","43","22"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-10","34","37","31"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-11","34","38","29"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-12","22","36","8"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-13","9","15","2"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-14","8","15","2"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-15","19","26","12"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-16","38","51","25"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-17","34","45","23"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-18","18","23","13"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-19","20","28","12"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-20","30","44","15"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-21","37","43","31"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-22","40","49","31"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-23",,,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-24","17","23","11"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-25","15","22","9"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-26","18","28","8"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-27","25","33","18"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-02-28","16","25","7"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-01","33","41","25"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-02","30","37","23"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-03","18","24","13"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-04","23","34","12"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-05","31","38","25"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-06","46","61","32"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-07","33","37","29"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-08","31","37","25"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-09","34","41","27"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-10","33","40","26"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-11","28","31","26"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-12","21","26","16"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-13","22","31","13"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-14","34","44","24"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-15","34","35","32"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-16","33","36","30"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-17","47","63","31"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-18","50","58","42"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-19","43","48","39"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-20","44","53","33"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-21","43","56","31"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-22","35","42","27"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-23","36","39","33"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-24","45","53","38"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-25","39","43","36"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-26","37","45","29"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-27","23","29","16"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-28","17","23","11"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-29","26","36","16"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-30","32","38","25"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2022-03-31","51","65","36"
